x,y,z,u,v,w,p
154,92.5,3,0,0,0,45
154,92.5,3.5,0,0,0,50
149,90.5,3.5,0,0,0,45
149,90.5,3,0,0,0,50
157.5,85,3,0,0,0,50
157.5,85,3.5,0,0,0,51
153,82.5,3,0,0,0,52
153,82.5,3.5,0,0,0,53
-105,10,3,0,0,0,54
-105,10,3.5,0,0,0,55
-107.5,10,3.5,0,0,0,56
-107.5,10,3,0,0,0,57
-105,12,3,0,0,0,58
-105,12,3.5,0,0,0,59
-96.5,12,3,0,0,0,60
-96.5,12,3.5,0,0,0,61
-93.5,-3,3,0,0,0,62
-93.5,-3,3.5,0,0,0,63
-101,-3,3,0,0,0,64
-101,-3,3.5,0,0,0,65
-103,4,3,0,0,0,66
-103,4,3.5,0,0,0,67
-107,4,3,0,0,0,68
-107,4,3.5,0,0,0,69
-78.5,-85,3,0,0,0,70
-78.5,-85,3.5,0,0,0,71
-86.5,-89,3.5,0,0,0,72
-86.5,-89,3,0,0,0,73
-77.5,-88,3,0,0,0,74
-77.5,-88,3.5,0,0,0,75
-85.5,-91.5,3,0,0,0,76
-85.5,-91.5,3.5,0,0,0,77
1,-5.5,3,0,0,0,78
1,-5.5,3.5,0,0,0,79
-3,-7.5,3.5,0,0,0,80
-3,-7.5,3,0,0,0,81
16.5,-40,3,0,0,0,82
16.5,-40,3.5,0,0,0,83
13,-41.5,3,0,0,0,84
13,-41.5,3.5,0,0,0,85
6.5,-3,3,0,0,0,86
6.5,-3,3.5,0,0,0,87
3,-5,3.5,0,0,0,88
3,-5,3,0,0,0,89
15.5,-22.5,3,0,0,0,90
15.5,-22.5,3.5,0,0,0,91
11.5,-24,3,0,0,0,92
11.5,-24,3.5,0,0,0,93
177,77,3,0,0,0,94
177,77,3.5,0,0,0,95
172.5,74.5,3.5,0,0,0,96
172.5,74.5,3,0,0,0,97
181.5,67.5,3,0,0,0,98
181.5,67.5,3.5,0,0,0,99
177,64.5,3,0,0,0,100
177,64.5,3.5,0,0,0,101
159,68.5,3,0,0,0,102
159,68.5,3.5,0,0,0,103
154.5,67,3.5,0,0,0,104
154.5,67,3,0,0,0,105
163,59.5,3,0,0,0,106
163,59.5,3.5,0,0,0,107
158.5,57.5,3,0,0,0,108
158.5,57.5,3.5,0,0,0,109
-35.5,-131.5,3,0,0,0,110
-35.5,-131.5,3.5,0,0,0,111
-41.5,-134.5,3.5,0,0,0,112
-41.5,-134.5,3,0,0,0,113
-30,-145.5,3,0,0,0,114
-30,-145.5,3.5,0,0,0,115
-36.5,-148,3,0,0,0,116
-36.5,-148,3.5,0,0,0,117
84.9,182.5,0,0,0,0,118
84.9,182.5,6,0,0,0,119
77.5,179.3,6,0,0,0,120
77.5,179.3,0,0,0,0,121
90.7,170.5,0,0,0,0,122
90.7,170.5,6,0,0,0,123
83.5,166.7,0,0,0,0,124
83.5,166.7,6,0,0,0,125
68.1,178.5,0,0,0,0,126
68.1,178.5,6,0,0,0,127
74.1,181.3,6,0,0,0,128
74.1,181.3,0,0,0,0,129
74.9,163.1,0,0,0,0,130
74.9,163.1,6,0,0,0,131
77.5,164.3,0,0,0,0,132
77.5,164.3,6,0,0,0,133
74.7,169.7,0,0,0,0,134
74.7,169.7,6,0,0,0,135
79.3,171.9,0,0,0,0,136
79.3,171.9,6,0,0,0,137
67.5,189.7,0,0,0,0,138
67.5,189.7,6,0,0,0,139
63.5,187.7,6,0,0,0,140
63.5,187.7,0,0,0,0,141
71.9,187.9,0,0,0,0,142
71.9,187.9,6,0,0,0,143
73.7,183.5,0,0,0,0,144
73.7,183.5,6,0,0,0,145
69.3,180.9,0,0,0,0,146
69.3,180.9,6,0,0,0,147
68.5,183.1,0,0,0,0,148
68.5,183.1,6,0,0,0,149
65.9,181.9,0,0,0,0,150
65.9,181.9,6,0,0,0,151
64.5,182.7,0,0,0,0,152
64.5,182.7,6,0,0,0,153
58.1,179.7,6,0,0,0,154
58.1,179.7,0,0,0,0,155
68.9,173.1,0,0,0,0,156
68.9,173.1,6,0,0,0,157
61.9,170.1,0,0,0,0,158
61.9,170.1,6,0,0,0,159
70.1,172.1,0,0,0,0,160
70.1,172.1,6,0,0,0,161
64.3,169.5,6,0,0,0,162
64.3,169.5,0,0,0,0,163
74.1,162.5,0,0,0,0,164
74.1,162.5,6,0,0,0,165
68.7,159.9,0,0,0,0,166
68.7,159.9,6,0,0,0,167
60.3,172.7,0,0,0,0,168
60.3,172.7,4.8,0,0,0,169
53.5,169.7,4.8,0,0,0,170
53.5,169.7,0,0,0,0,171
65.5,160.7,0,0,0,0,172
65.5,160.7,4.8,0,0,0,173
58.9,157.7,0,0,0,0,174
58.9,157.7,4.8,0,0,0,175
44.9,169.5,0,0,0,0,176
44.9,169.5,6,0,0,0,177
51.7,172.7,6,0,0,0,178
51.7,172.7,0,0,0,0,179
53.1,153.1,0,0,0,0,180
53.1,153.1,6,0,0,0,181
59.5,155.9,0,0,0,0,182
59.5,155.9,6,0,0,0,183
63.1,187.5,0,0,0,0,184
63.1,187.5,5.4,0,0,0,185
41.1,177.7,5.4,0,0,0,186
41.1,177.7,0,0,0,0,187
64.9,183.3,0,0,0,0,188
64.9,183.3,5.4,0,0,0,189
50.1,175.9,0,0,0,0,190
50.1,175.9,5.4,0,0,0,191
51.1,172.9,0,0,0,0,192
51.1,172.9,5.4,0,0,0,193
44.7,169.5,0,0,0,0,194
44.7,169.5,5.4,0,0,0,195
42.3,196.3,0,0,0,0,196
42.3,196.3,6,0,0,0,197
31.7,197.3,6,0,0,0,198
31.7,197.3,0,0,0,0,199
43.3,193.9,0,0,0,0,200
43.3,193.9,6,0,0,0,201
39.5,192.7,0,0,0,0,202
39.5,192.7,6,0,0,0,203
41.1,189.5,0,0,0,0,204
41.1,189.5,6,0,0,0,205
46.7,191.9,0,0,0,0,206
46.7,191.9,6,0,0,0,207
49.9,185.3,0,0,0,0,208
49.9,185.3,6,0,0,0,209
42.3,181.3,0,0,0,0,210
42.3,181.3,6,0,0,0,211
41.5,183.5,0,0,0,0,212
41.5,183.5,6,0,0,0,213
39.5,182.7,0,0,0,0,214
39.5,182.7,6,0,0,0,215
24.7,184.7,0,0,0,0,216
24.7,184.7,6,0,0,0,217
23.1,186.7,6,0,0,0,218
23.1,186.7,0,0,0,0,219
20.9,183.1,0,0,0,0,220
